,cluster_id,date,indication_entry
0,ID_1338,2012-01-01,0
1,ID_466,2012-01-01,0
2,ID_3030,2012-01-01,0
3,ID_518,2012-01-01,0
4,ID_924,2012-01-01,0
5,ID_927,2012-01-01,0
6,ID_477,2012-01-01,0
7,ID_1189,2012-01-01,0
8,ID_884,2012-01-01,0
9,ID_1295,2012-01-01,0
10,ID_1849,2012-01-01,0
11,ID_1144,2012-01-01,0
12,ID_1337,2012-01-01,0
13,ID_1840,2012-01-01,0
14,ID_1874,2012-01-01,0
15,ID_896,2012-01-01,0
16,ID_1293,2012-01-01,0
17,ID_1291,2012-01-01,0
18,ID_713,2012-01-01,0
19,ID_3112,2012-01-01,0
20,ID_1329,2012-01-01,0
21,ID_518,2012-01-01,0
22,ID_1859,2012-01-01,0
23,ID_1126,2012-01-01,0
24,ID_1837,2012-01-01,0
25,ID_939,2012-01-01,0
26,ID_721,2012-01-01,0
27,ID_521,2012-01-01,0
28,ID_3027,2012-01-01,0
29,ID_1126,2012-01-01,0
30,ID_1461,2012-01-01,0
31,ID_929,2012-01-01,0
32,ID_708,2012-01-01,0
33,ID_733,2012-01-01,0
34,ID_3111,2012-01-01,0
35,ID_3111,2012-01-01,0
36,ID_1140,2012-01-01,0
37,ID_3037,2012-01-01,0
38,ID_710,2012-01-01,0
39,ID_1163,2012-01-01,0
40,ID_1760,2012-01-01,0
41,ID_3032,2012-01-01,0
42,ID_1831,2012-01-01,0
43,ID_1831,2012-01-01,0
44,ID_915,2012-01-01,0
45,ID_699,2012-01-01,0
46,ID_3099,2012-01-01,0
47,ID_1116,2012-01-01,0
48,ID_743,2012-01-01,0
49,ID_3099,2012-01-01,0
50,ID_1169,2012-01-01,0
51,ID_1143,2012-01-01,0
52,ID_741,2012-01-01,0
53,ID_1130,2012-01-01,0
54,ID_1293,2012-01-01,0
55,ID_1116,2012-01-01,0
56,ID_740,2012-01-01,0
57,ID_1319,2012-01-01,0
58,ID_520,2012-01-01,0
59,ID_1861,2012-01-01,0
60,ID_477,2012-01-01,0
